20:43:54    0 ****************************************************
20:43:54    0 ** Dragonfly version 4.15 **
20:43:54    0 ** Game engine started **
20:43:54    0 ****************************************************
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/asteroid-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'asteroid' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/planet-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'planet' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/gameover-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'gameover' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/gamestart-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'gamestart' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/bullet-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'bullet' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/explosion-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'explosion' loaded.
20:43:54    0 ResourceManager::loadSprite(): Loading sprite 'sprites/block-spr.txt'.
20:43:54    0 ResourceManager::loadSprite(): Sprite 'block' loaded.
20:43:55   32 Spawning BulletShooter
20:43:56   51  BulletShooter: mouse event
20:43:56   52  BulletShooter: mouse event
20:43:56   53  BulletShooter: mouse event
20:43:56   54  BulletShooter: mouse event
20:43:56   55  BulletShooter: mouse event
20:43:56   56  BulletShooter: mouse event
20:43:56   57  BulletShooter: mouse event
20:43:56   58  BulletShooter: mouse event
20:43:56   59  BulletShooter: mouse event
20:43:56   60  BulletShooter: mouse event
20:43:56   61  BulletShooter: mouse event
20:43:56   62  BulletShooter: mouse event
20:43:56   63  BulletShooter: mouse event
20:43:56   64  BulletShooter: mouse event
20:43:56   65  BulletShooter: mouse event
20:43:56   65  BulletShooter: mouse event
20:43:56   66  BulletShooter: mouse event
20:43:56   67  BulletShooter: mouse event
20:43:56   68  BulletShooter: mouse event
20:43:57   72  BulletShooter: mouse event
20:43:57   72 BlockPlacer: Placing block
20:43:57   72 Block placed
20:43:57   72  BulletShooter: mouse event
20:43:57   73  BulletShooter: mouse event
20:43:57   74  BulletShooter: mouse event
20:43:57   77  BulletShooter: mouse event
20:43:57   78  BulletShooter: mouse event
20:43:57   79  BulletShooter: mouse event
20:43:57   82  BulletShooter: mouse event
20:43:57   83  BulletShooter: mouse event
20:43:57   84  BulletShooter: mouse event
20:43:57   85  BulletShooter: mouse event
20:43:57   86  BulletShooter: mouse event
20:43:57   87  BulletShooter: mouse event
20:43:57   88  BulletShooter: mouse event
20:43:57   89  BulletShooter: mouse event
20:43:57   90  BulletShooter: mouse event
20:43:57   91  BulletShooter: mouse event
20:43:57   92  BulletShooter: mouse event
20:43:57   93  BulletShooter: mouse event
20:43:57   93 Block hit by asteroid
20:43:57   94  BulletShooter: mouse event
20:43:57   95  BulletShooter: mouse event
20:43:57   96  BulletShooter: mouse event
20:43:57   97  BulletShooter: mouse event
20:43:57   98  BulletShooter: mouse event
20:43:57   99  BulletShooter: mouse event
20:43:57  100  BulletShooter: mouse event
20:43:57  100 BlockPlacer: Placing block
20:43:57  100 Block placed
20:43:57  100  BulletShooter: mouse event
20:43:57  101  BulletShooter: mouse event
20:43:58  104  BulletShooter: mouse event
20:43:58  105  BulletShooter: mouse event
20:43:58  106  BulletShooter: mouse event
20:43:58  107  BulletShooter: mouse event
20:43:58  108  BulletShooter: mouse event
20:43:58  109  BulletShooter: mouse event
20:43:58  110  BulletShooter: mouse event
20:43:58  110  BulletShooter: mouse event
20:43:58  111  BulletShooter: mouse event
20:43:58  112  BulletShooter: mouse event
20:43:58  113  BulletShooter: mouse event
20:43:58  114  BulletShooter: mouse event
20:43:58  115  BulletShooter: mouse event
20:43:58  116  BulletShooter: mouse event
20:43:58  117  BulletShooter: mouse event
20:43:58  118  BulletShooter: mouse event
20:43:58  119  BulletShooter: mouse event
20:43:58  120  BulletShooter: mouse event
20:43:58  121  BulletShooter: mouse event
20:43:58  121 BlockPlacer: Placing block
20:43:58  121 Block placed
20:43:58  121  BulletShooter: mouse event
20:43:58  122  BulletShooter: mouse event
20:43:58  124  BulletShooter: mouse event
20:43:58  124  BulletShooter: mouse event
20:43:58  125  BulletShooter: mouse event
20:43:58  126  BulletShooter: mouse event
20:43:58  127  BulletShooter: mouse event
20:43:58  128  BulletShooter: mouse event
20:43:58  129  BulletShooter: mouse event
20:43:58  130  BulletShooter: mouse event
20:43:58  131  BulletShooter: mouse event
20:43:59  132  BulletShooter: mouse event
20:43:59  133  BulletShooter: mouse event
20:43:59  134  BulletShooter: mouse event
20:43:59  136  BulletShooter: mouse event
20:43:59  136 BlockPlacer: Placing block
20:43:59  136 Block placed
20:43:59  136  BulletShooter: mouse event
20:43:59  137  BulletShooter: mouse event
20:43:59  138  BulletShooter: mouse event
20:43:59  140  BulletShooter: mouse event
20:43:59  141  BulletShooter: mouse event
20:43:59  141  BulletShooter: mouse event
20:43:59  142  BulletShooter: mouse event
20:43:59  143  BulletShooter: mouse event
20:43:59  143  BulletShooter: mouse event
20:43:59  144  BulletShooter: mouse event
20:43:59  145  BulletShooter: mouse event
20:43:59  146  BulletShooter: mouse event
20:43:59  146  BulletShooter: mouse event
20:43:59  147  BulletShooter: mouse event
20:43:59  148  BulletShooter: mouse event
20:43:59  149  BulletShooter: mouse event
20:43:59  149  BulletShooter: mouse event
20:43:59  149 BlockPlacer: Placing block
20:43:59  149 Block placed
20:43:59  149  BulletShooter: mouse event
20:43:59  150  BulletShooter: mouse event
20:43:59  151  BulletShooter: mouse event
20:43:59  156  BulletShooter: mouse event
20:43:59  157  BulletShooter: mouse event
20:43:59  158  BulletShooter: mouse event
20:43:59  159  BulletShooter: mouse event
20:43:59  160  BulletShooter: mouse event
20:43:59  161  BulletShooter: mouse event
20:44:00  162  BulletShooter: mouse event
20:44:00  163  BulletShooter: mouse event
20:44:00  164  BulletShooter: mouse event
20:44:00  165  BulletShooter: mouse event
20:44:00  166  BulletShooter: mouse event
20:44:00  167  BulletShooter: mouse event
20:44:00  167  BulletShooter: mouse event
20:44:00  168  BulletShooter: mouse event
20:44:00  168  BulletShooter: mouse event
20:44:00  169  BulletShooter: mouse event
20:44:00  174  BulletShooter: mouse event
20:44:00  175  BulletShooter: mouse event
20:44:00  176  BulletShooter: mouse event
20:44:00  177  BulletShooter: mouse event
20:44:00  178  BulletShooter: mouse event
20:44:00  178  BulletShooter: mouse event
20:44:00  179  BulletShooter: mouse event
20:44:00  180  BulletShooter: mouse event
20:44:00  181  BulletShooter: mouse event
20:44:00  182  BulletShooter: mouse event
20:44:00  183  BulletShooter: mouse event
20:44:00  184  BulletShooter: mouse event
20:44:00  185  BulletShooter: mouse event
20:44:00  186  BulletShooter: mouse event
20:44:00  187  BulletShooter: mouse event
20:44:00  188  BulletShooter: mouse event
20:44:00  189  BulletShooter: mouse event
20:44:00  190  BulletShooter: mouse event
20:44:00  191  BulletShooter: mouse event
20:44:00  192  BulletShooter: mouse event
20:44:01  193  BulletShooter: mouse event
